country,year,total_deaths,total_affected,reconstruction_costs_('000_us$),"reconstruction_costs,_adjusted_('000_us$)",insured_damages_('000_us$),"insured_damages,_adjusted_('000_us$)",total_damages_('000_us$),"total_damages,_adjusted_('000_us$)",total_occurences,lat,lng
United States of America (the),1630682,12062,114360179,62500,101670,580926300,737276873,1292465060,1611358099,813,37.09024,-95.712891
Uruguay,66241,36,237240,0,0,0,0,828000,1054398,33,-32.522779,-55.765835
Uzbekistan,20060,104,722279,0,0,0,0,50000,78679,10,41.377491,64.585262
Vanuatu,68162,80,509339,0,0,0,0,457400,527321,34,-15.376706,166.959158
Venezuela (Bolivarian Republic of),90258,30645,2463922,0,0,402000,654341,3608500,5732569,45,6.42375,-66.58973
Viet Nam,441573,13565,58712204,0,0,45000,66775,23335066,29053152,220,14.058324,108.277199
Virgin Island (British),6030,9,3,0,0,0,0,3002000,3319831,3,18.420695,-64.639968
Virgin Island (U.S.),14025,17,10000,0,0,655000,1148821,1216000,2123445,7,18.335765,-64.896335
Wallis and Futuna,4005,5,1272,0,0,0,0,0,0,2,-13.768752,-177.156097
Yemen,116569,2371,1845637,0,0,0,0,1831500,2846187,58,15.552727,48.516388
Yugoslavia,3980,0,0,0,0,0,0,1766100,3662679,2,46.151241,14.995463
Zambia,90278,1361,12323050,0,0,0,0,20700,34410,45,-13.133897,27.849332
Zimbabwe,104391,7593,27553177,0,0,0,0,1036700,1333495,52,-19.015438,29.154857
