continent,country,iso,total_deaths,total_affected,total_damages,total_occurrences,gdp_per_capita,total_co2,co2_per_cap,population,country_x,country_y,standardized,gni_per_capita,bins
Africa,Guinea-Bissau,GNB,3044,314388,0,23,802.7673851,319.9999928,0.170730038,1874304,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,720,Low-Income
Africa,Kenya,KEN,7406,71854225,869888,121,1794.091175,17489.99977,0.340321563,51392570,Kenya,Kenya,Kenya,1680,Lower-Middle Income
Africa,Lesotho,LSO,123,4845062,1000,24,1192.48432,730.0000191,0.346246108,2108327,Lesotho,Lesotho,Lesotho,1230,Lower-Middle Income
Africa,Liberia,LBR,5568,1599422,47000,25,710.2659984,1129.999995,0.23448965,4818976,Liberia,Liberia,Liberia,630,Low-Income
Africa,Libya,LBY,320,27405,54300,4,11482.13364,56619.99893,8.477868963,6678565,Libya,Libya,Libya,11180,Upper-Middle Income
Africa,Madagascar,MDG,5402,21164743,2361801,97,518.401123,3349.999905,0.12755921,26262313,Madagascar,Madagascar,Madagascar,500,Low-Income
Africa,Malawi,MWI,3245,32437389,450489,76,544.5934593,1379.999995,0.076061492,18143215,Malawi,Malawi,Malawi,440,Low-Income
Africa,Mali,MLI,4082,14064154,0,60,894.8048435,5469.99979,0.286721356,19077755,Mali,Mali,Mali,830,Low-Income
Africa,Mauritania,MRT,287,13093392,61500,46,1669.773476,3690.000057,0.838005587,4403312,Mauritania,Mauritania,Mauritania,1640,Lower-Middle Income
Africa,Mauritius,MUS,82,1062145,803373,22,11208.34382,4130.000114,3.264040403,1265303,Mauritius,Mauritius,Mauritius,12270,High-Income
Africa,Morocco,MAR,14666,3700192,2051159,61,3226.98291,64959.99908,1.802987555,36029089,Morocco,Morocco,Morocco,3090,Lower-Middle Income
Africa,Mozambique,MOZ,107175,42882243,3384750,121,503.3020092,6949.999809,0.235625091,29496009,Mozambique,Mozambique,Mozambique,460,Low-Income
Africa,Namibia,NAM,555,3815727,195490,32,5588.392864,4230.000019,1.727729453,2448300,Namibia,Namibia,Namibia,4920,Upper-Middle Income
Africa,Niger (the),NER,11108,39137299,282039,96,570.723922,1950.000048,0.086887436,22442831,Niger,Niger,Niger (the),570,Low-Income
Africa,Nigeria,NGA,32591,16186217,1093525,139,2027.778549,109889.9994,0.561021958,195874685,Nigeria,Nigeria,Nigeria,1960,Lower-Middle Income
Africa,Rwanda,RWA,1226,6272490,72009,54,783.8127901,1289.999962,0.104861259,12301969,Rwanda,Rwanda,Rwanda,780,Low-Income
Africa,Sao Tome and Principe,STP,214,315080,0,5,1953.513257,140.0000006,0.6634065,211032,São Tomé and Principe,São Tomé and Principe,São Tomé and Principe,1870,Lower-Middle Income
Africa,Senegal,SEN,1559,10748568,447235,53,1458.081584,10180.00031,0.642096144,15854324,Senegal,Senegal,Senegal,1390,Lower-Middle Income
Africa,Seychelles,SYC,8,26016,41000,7,16910.66792,579.9999833,5.994088416,96762,Seychelles,Seychelles,Seychelles,15960,High-Income
Africa,Sierra Leone,SLE,6742,331449,33600,33,533.9915333,860.0000143,0.112416113,7650149,Sierra Leone,Sierra Leone,Sierra Leone,490,Low-Income
Africa,Somalia,SOM,50009,36063128,1175020,102,389.8313955,660.0000262,0.043975888,15008225,Somalia,Somalia,Somalia,400,Low-Income
Africa,South Africa,ZAF,2852,34427208,10131070,119,7005.095413,434350.0061,7.515678605,57792520,South Africa,South Africa,South Africa,6340,Upper-Middle Income
Africa,Sudan (the),SDN,162581,36512542,808200,106,773.5070801,20860.00061,0.499024787,41801532,Sudan,Sudan,Sudan,1390,Lower-Middle Income
