country,iso,disaster_type,year,total_deaths,total_affected,total_damages,total_occurrences
Greece,GRC,Extreme temperature,15987,1129,176,3000,8
Greece,GRC,Flood,56122,123,23924,1317359,28
Greece,GRC,Storm,15973,106,735,690000,8
Greece,GRC,Wildfire,32009,208,76277,3005000,16
Grenada,GRD,Drought,2010,0,0,0,1
Grenada,GRD,Flood,1975,0,0,4700,1
Grenada,GRD,Storm,11938,45,61285,899800,6
Guadeloupe,GLP,Earthquake,2004,1,153,0,1
Guadeloupe,GLP,Epidemic,2010,0,33000,0,1
Guadeloupe,GLP,Flood,1988,0,0,0,1
Guadeloupe,GLP,Storm,23830,52,112085,695000,12
Guadeloupe,GLP,Volcanic activity,1976,0,75003,0,1
Guam,GUM,Earthquake,1993,0,71,120000,1
Guam,GUM,Storm,17926,18,27908,1001145,9
Guatemala,GTM,Drought,14035,41,5753081,168669,7
Guatemala,GTM,Earthquake,29982,23079,6481312,1212050,15
Guatemala,GTM,Epidemic,19984,633,57049,0,10
Guatemala,GTM,Extreme temperature,8032,6,12634,0,4
Guatemala,GTM,Flood,72269,966,4017180,165413,36
Guatemala,GTM,Landslide,22090,678,55091,505000,11
Guatemala,GTM,Mass movement (dry),4000,59,3028,0,2
Guatemala,GTM,Storm,40172,2553,4036200,2788000,20
Guatemala,GTM,Volcanic activity,21982,461,1742892,0,11
Guatemala,GTM,Wildfire,3990,0,0,0,2
Guinea,GIN,Drought,3978,12,0,0,2
Guinea,GIN,Earthquake,1983,443,41436,8000,1
Guinea,GIN,Epidemic,34091,3631,40243,0,17
Guinea,GIN,Flood,30122,33,530546,0,15
Guinea,GIN,Landslide,2015,7,492,0,1
Guinea,GIN,Storm,2000,4,0,0,1
Guinea,GIN,Wildfire,2004,0,777,0,1
Guinea-Bissau,GNB,Drought,7957,0,132000,0,4
Guinea-Bissau,GNB,Epidemic,15990,3032,105380,0,8
Guinea-Bissau,GNB,Flood,8025,5,58542,0,4
Guinea-Bissau,GNB,Insect infestation,5951,0,0,0,3
Guinea-Bissau,GNB,Storm,5998,4,16966,0,3
Guinea-Bissau,GNB,Wildfire,1998,3,1500,0,1
Guyana,GUY,Drought,5995,0,607200,43700,3
Guyana,GUY,Flood,20050,34,706048,634300,10
Haiti,HTI,Drought,17917,0,6905217,87000,9
Haiti,HTI,Earthquake,10023,225170,4443116,9640071,5
Haiti,HTI,Epidemic,16045,7168,588177,0,8
Haiti,HTI,Flood,128151,4074,958349,3959,64
Haiti,HTI,Landslide,3943,262,1060,0,2
Haiti,HTI,Storm,88076,12025,7237690,3286906,44
Honduras,HND,Drought,23988,0,1917335,17000,12
Honduras,HND,Earthquake,5998,7,52519,100000,3
Honduras,HND,Epidemic,19978,266,167265,0,10
Honduras,HND,Flood,76032,962,1815300,393700,38
Honduras,HND,Landslide,1973,2800,0,0,1
Honduras,HND,Mass movement (dry),1989,10,0,0,1
Honduras,HND,Storm,49957,23254,8127956,4673179,25
Honduras,HND,Wildfire,4021,0,2503,0,2
Hong Kong,HKG,Drought,13822,0,0,0,7
Hong Kong,HKG,Epidemic,2002,299,1456,0,1
Hong Kong,HKG,Extreme temperature,1987,10,7,0,1
Hong Kong,HKG,Flood,47495,312,57563,105000,24
Hong Kong,HKG,Landslide,11860,212,4287,790,6
Hong Kong,HKG,Storm,119129,644,74775,1210153,60
Hong Kong,HKG,Wildfire,7892,0,9000,0,4
Hungary,HUN,Drought,5981,0,0,984000,3
Hungary,HUN,Earthquake,2013,0,1800,0,1
Hungary,HUN,Extreme temperature,12051,841,500,0,6
Hungary,HUN,Flood,32037,310,238865,966400,16
Hungary,HUN,Storm,16046,60,165598,10000,8
Iceland,ISL,Earthquake,5976,1,205,24000,3
Iceland,ISL,Flood,1988,0,280,0,1
Iceland,ISL,Landslide,7947,50,83,5789,4
Iceland,ISL,Volcanic activity,9946,0,5200,41200,5
India,IND,Drought,27846,1500320,1400041000,6541122,14
India,IND,Earthquake,51813,51618,28568813,5316700,26
India,IND,Epidemic,129608,20995,422791,0,65
India,IND,Extreme temperature,121805,18000,700,544000,61
India,IND,Flood,629408,79066,899438665,87944168,315
India,IND,Glacial lake outburst,4042,250,24,210000,2
India,IND,Insect infestation,1993,0,0,0,1
India,IND,Landslide,105880,4761,4004284,54500,53
India,IND,Mass movement (dry),4001,61,0,0,2
India,IND,Storm,379151,58095,148554825,44690996,190
India,IND,Wildfire,8017,30,0,2000,4
Indonesia,IDN,Drought,19870,9340,4804220,160200,10
Indonesia,IDN,Earthquake,255861,186921,12298166,14239556,128
Indonesia,IDN,Epidemic,67765,3926,689029,0,34
Indonesia,IDN,Flood,515331,7386,13633328,8191347,257
Indonesia,IDN,Landslide,128255,2720,507276,158745,64
Indonesia,IDN,Mass movement (dry),1987,131,701,1000,1
Indonesia,IDN,Storm,27873,2250,541908,801000,14
Indonesia,IDN,Volcanic activity,117664,5646,1585632,800390,59
Indonesia,IDN,Wildfire,22026,319,3444142,10329000,11
Iran (Islamic Republic of),IRN,Drought,5984,0,42525000,3300000,3
Iran (Islamic Republic of),IRN,Earthquake,229236,137262,3034357,13048628,115
Iran (Islamic Republic of),IRN,Epidemic,5943,372,2500,0,3
Iran (Islamic Republic of),IRN,Extreme temperature,1953,158,0,0,1
Iran (Islamic Republic of),IRN,Flood,189732,8163,14470701,14029528,95
Iran (Islamic Republic of),IRN,Insect infestation,2020,0,0,0,1
Iran (Islamic Republic of),IRN,Landslide,9981,128,144,0,5
