country,disaster_type,year,total_deaths,total_affected,total_damages,total_occurrences
Finland,Flood,2005,0,400,0,1
Finland,Storm,3980,0,0,10000,2
France,Drought,9981,0,0,1610000,5
France,Earthquake,5965,12,1856,0,3
France,Epidemic,3994,21,6,0,2
France,Extreme temperature,42151,27593,10200,10772000,21
France,Flood,120165,324,106759,11717850,60
France,Landslide,19818,199,338,10790,10
France,Storm,150175,467,4090197,27855060,75
France,Wildfire,23934,32,18429,10000,12
French Guiana,Flood,4016,0,70139,0,2
French Guiana,Landslide,2000,10,5,0,1
French Polynesia,Flood,2017,0,5004,2000,1
French Polynesia,Landslide,5983,23,511,0,3
French Polynesia,Storm,7934,8,8461,48000,4
Gabon,Epidemic,16010,116,18708,0,8
Gabon,Flood,4000,1,87845,0,2
Gabon,Storm,6029,0,4330,0,3
Gambia (the),Drought,13922,0,1321100,700,7
Gambia (the),Epidemic,7989,341,909,0,4
Gambia (the),Flood,22092,82,130670,0,11
Gambia (the),Insect infestation,7965,0,0,0,4
Gambia (the),Storm,12064,19,48856,0,6
Gambia (the),Wildfire,1973,0,5000,0,1
Georgia,Drought,2000,0,696000,200000,1
Georgia,Earthquake,7994,15,30212,350000,4
Georgia,Flood,38183,61,171422,59856,19
Georgia,Storm,6026,0,8668,91000,3
Germany,Earthquake,3996,1,1675,62000,2
Germany,Epidemic,4004,0,609,0,2
Germany,Extreme temperature,26123,9424,165,1950000,13
Germany,Flood,36091,258,544708,68553600,18
Germany,Landslide,1999,5,0,6230,1
Germany,Storm,100252,230,31144,27317775,50
Germany Dem Rep,Storm,5953,0,0,0,3
Germany Fed Rep,Earthquake,1978,0,235,150000,1
Germany Fed Rep,Extreme temperature,1979,0,0,80000,1
Germany Fed Rep,Flood,7940,13,3512,386000,4
Germany Fed Rep,Storm,17758,488,250,3348000,9
Germany Fed Rep,Wildfire,1983,0,0,0,1
Ghana,Drought,5928,0,12512000,100,3
Ghana,Epidemic,44027,1274,91471,0,22
Ghana,Flood,54221,526,5016618,120200,27
Ghana,Storm,2017,20,12,0,1
Ghana,Wildfire,1985,4,1500,0,1
Greece,Drought,1990,0,0,1000000,1
Greece,Earthquake,75535,996,1212213,7775450,38
Greece,Extreme temperature,15987,1129,176,3000,8
Greece,Flood,56122,123,23924,1317359,28
Greece,Storm,15973,106,735,690000,8
Greece,Wildfire,32009,208,76277,3005000,16
Grenada,Drought,2010,0,0,0,1
Grenada,Flood,1975,0,0,4700,1
Grenada,Storm,11938,45,61285,899800,6
Guadeloupe,Earthquake,2004,1,153,0,1
Guadeloupe,Epidemic,2010,0,33000,0,1
Guadeloupe,Flood,1988,0,0,0,1
Guadeloupe,Storm,23830,52,112085,695000,12
Guadeloupe,Volcanic activity,1976,0,75003,0,1
Guam,Earthquake,1993,0,71,120000,1
Guam,Storm,17926,18,27908,1001145,9
Guatemala,Drought,14035,41,5753081,168669,7
Guatemala,Earthquake,29982,23079,6481312,1212050,15
Guatemala,Epidemic,19984,633,57049,0,10
Guatemala,Extreme temperature,8032,6,12634,0,4
Guatemala,Flood,72269,966,4017180,165413,36
Guatemala,Landslide,22090,678,55091,505000,11
Guatemala,Mass movement (dry),4000,59,3028,0,2
Guatemala,Storm,40172,2553,4036200,2788000,20
Guatemala,Volcanic activity,21982,461,1742892,0,11
Guatemala,Wildfire,3990,0,0,0,2
Guinea,Drought,3978,12,0,0,2
Guinea,Earthquake,1983,443,41436,8000,1
Guinea,Epidemic,34091,3631,40243,0,17
Guinea,Flood,30122,33,530546,0,15
Guinea,Landslide,2015,7,492,0,1
Guinea,Storm,2000,4,0,0,1
Guinea,Wildfire,2004,0,777,0,1
